City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Tecoanapa,MX,2023-02-02 21:40:29,16.5167,-98.75,29.62,50,3,5.3
99,Geraldton,AU,2023-02-02 21:40:29,-28.7667,114.6,26.23,31,20,1.03
100,Puerto Ayora,EC,2023-02-02 21:40:29,-0.7393,-90.3518,29.98,90,99,4.47
101,Shingu,JP,2023-02-02 21:40:30,33.7333,135.9833,2.0,67,28,2.37
102,Terney,RU,2023-02-02 21:40:30,45.0503,136.6092,-14.61,73,59,4.3
103,Moctezuma,MX,2023-02-02 21:36:11,29.8,-109.6667,20.13,24,0,2.4
104,Yulara,AU,2023-02-02 21:40:31,-25.2406,130.9889,19.47,49,0,6.34
105,Chumikan,RU,2023-02-02 21:40:31,54.7183,135.315,-26.37,87,82,8.41
106,Yellowknife,CA,2023-02-02 21:38:53,62.456,-114.3525,-28.58,76,20,5.14
107,Tual,ID,2023-02-02 21:40:32,-5.6667,132.75,28.28,76,100,6.84
108,Hithadhoo,MV,2023-02-02 21:40:32,-0.6,73.0833,28.18,64,87,5.81
109,Meulaboh,ID,2023-02-02 21:36:15,4.1363,96.1285,24.37,91,100,2.18
110,Kidal,ML,2023-02-02 21:40:33,18.4411,1.4078,21.8,10,10,5.93
111,Touros,BR,2023-02-02 21:40:33,-5.1989,-35.4608,26.76,76,49,6.89
112,Harper,LR,2023-02-02 21:40:33,4.375,-7.7169,26.59,85,7,3.25
113,Mugur-Aksy,RU,2023-02-02 21:40:34,50.35,90.5,-19.83,80,2,2.59
114,Coahuayana,MX,2023-02-02 21:40:34,18.7333,-103.6833,30.91,36,60,3.23
115,Sao Joao Dos Patos,BR,2023-02-02 21:37:39,-6.495,-43.7022,23.58,88,100,1.83
116,Laguna,US,2023-02-02 21:40:35,38.421,-121.4238,16.21,54,0,3.09
117,Beringovskiy,RU,2023-02-02 21:36:59,63.05,179.3167,-12.96,94,100,5.48
118,Ahipara,NZ,2023-02-02 21:40:35,-35.1667,173.1667,22.89,91,98,3.25
119,Fairbanks,US,2023-02-02 21:40:36,64.8378,-147.7164,-10.78,84,100,1.54
120,Altamont,US,2023-02-02 21:40:36,42.2068,-121.7372,10.5,27,0,8.75
121,Guerrero Negro,MX,2023-02-02 21:40:37,27.9769,-114.0611,19.89,35,13,4.73
122,Punta Arenas,CL,2023-02-02 21:40:37,-53.15,-70.9167,19.06,42,0,11.83
123,Ayagoz,KZ,2023-02-02 21:40:37,47.9714,80.4392,-11.62,86,100,2.68
124,Bud,US,2023-02-02 21:40:38,39.447,-86.1758,4.96,49,77,5.12
125,Bengkulu,ID,2023-02-02 21:40:38,-3.8004,102.2655,23.28,90,100,2.18
126,Yilan,TW,2023-02-02 21:40:39,24.757,121.753,17.98,99,100,0.95
127,Georgetown,MY,2023-02-02 21:37:31,5.4112,100.3354,25.96,100,20,1.03
128,Upernavik,GL,2023-02-02 21:36:37,72.7868,-56.1549,-22.82,86,80,1.97
129,Bredasdorp,ZA,2023-02-02 21:40:39,-34.5322,20.0403,17.19,75,1,0.59
130,Port Hardy,CA,2023-02-02 21:40:40,50.6996,-127.4199,7.1,76,100,10.8
131,Aklavik,CA,2023-02-02 21:38:44,68.2191,-135.0107,-36.0,75,20,3.6
132,Hilo,US,2023-02-02 21:37:49,19.7297,-155.09,30.16,69,20,4.92
133,Puerto Madero,MX,2023-02-02 21:40:40,14.7208,-92.4215,32.11,51,0,4.12
